Code,MarketCap
042940,40599959015
042600,306862277800
075180,76608000000
107600,289748082000
411080,132083332500
252990,369232123300
007540,145227900000
248170,126084693600
378800,71520196100
294630,154412291040
038070,84396557200
006730,461108675090
079650,30580000000
100660,62370000000
007860,255930299600
200880,534622483860
019770,51959000000
017390,298500000000
043710,34185437280
092190,168107623695
046890,580138730000
004410,67456000620
004415,4093080000
063170,201915673120
027040,28253071882
018680,41623768830
021050,62096763720
093920,106578000000
189860,40007467500
178320,768524128900
122690,76315130945
140070,145362840000
011370,87778532550
065710,97953000000
008490,300796938000
035890,293235591132
357550,341483000000
003100,128766000000
007610,54000000000
067370,114146654850
171090,239815751000
136490,170499760680
086710,98236404000
014620,330044000000
037350,61570600000
014910,34881909705
014915,3756000000
003080,58058000000
004980,206425334660
004985,9232344750
011300,94482663743
081580,33342507450
045300,39290558880
015750,786400000000
365340,1186279220000
000180,140898232000
080470,34967000000
043260,82351102128
148150,301559750790
002420,33631030400
188260,24983650600
053060,31112372278
340440,50910785016
017510,42155190000
004360,244061841600
004365,28038300000
004490,1114400000000
011560,93717000000
267080,34961296560
396300,101057442500
001430,925242670200
306200,381765980000
003030,886314598000
019440,118008900000
058650,440800000000
013000,42196395570
100700,122640000000
024830,61790000000
091090,54838923850
021820,89500000000
067830,103423055400
033530,168038604440
258830,30727986810
036630,141240000000
039310,39686450730
075580,342802219680
067770,23594426330
053450,118786208090
222810,155101667500
252500,36176132080
321370,108049121300
347000,97529704080
331920,33309723840
049180,79274350700
299660,53663744265
268600,244941204600
108860,510304418400
208370,158192274240
318160,35515555335
258250,13221843750
068270,39183542231400
068760,4393083474400
068940,29766744466
060230,105723183320
290690,356704976250
950200,94545200495
032680,72857627160
032685,3814276560
258790,33988146240
066910,89528286350
043100,33056845584
336370,849629862400
33637K,47513632460
33637L,18475867440
248070,1447660701450
035610,126611966110
357780,2115769952000
036830,1461194703200
304100,292670153600
328380,47145582528
004430,365760000000
086980,280931430000
050960,70817990000
126720,297863100000
017550,125422251300
084180,74001494036
253840,104014621760
185190,9589692750
298830,322554843930
236200,175875524850
094840,78538800000
192440,195193798200
424960,169637941200
136510,661852453600
099440,159565057210
053210,264227629800
033790,23621598000
276040,116756608200
159910,28367474274
204210,94704461500
115570,22875615420
330730,104185764200
352090,107357627010
253450,1358644109600
408900,201020625000
204630,38829190776
415380,80876031720
026890,290496879750
013810,58328770600
203690,112674995540
049830,57948458400
020710,87208669500
033170,143766390963
048870,236545863840
025320,740112374880
134790,55800000000
269620,132090012299
429270,50334812500
418250,73829263500
131090,43076000000
232830,40742002560
016590,248637549400
290520,53044775460
029530,387577115050
004970,142560000000
001000,38042905180
025870,30480000000
215600,488104508125
065350,3380525604000
416180,392326365200
011930,400580501846
005390,273620774560
004170,1720937638800
035510,215172000000
034300,86685388180
031430,589050000000
031440,148703232000
006880,84103180380
